ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
144	26,27,17	8,4,1	28,22,7	4,2,6	298	149
145	10,1,6	92,62,46	2,10,0	46,244,79	298	149
147	0,1,0	157,154,122	1,5,0	106,166,92	262	149
148	21,17,17	0,1,5	21,43,13	1,2,2	262	149
149	12,8,12	39,74,60	13,23,7	77,133,73	248	149
150	1,0,1	27,15,12	1,3,0	32,56,39	241	149
151	8,9,8	154,149,117	7,10,3	203,285,141	229	149
152	1,4,4	49,87,52	4,4,0	59,108,54	231	149
153	0,0,0	3,20,7	0,1,2	7,7,7	298	149
154	12,23,18	478,699,476	7,14,9	361,894,449	298	149
155	26,39,19	61,52,50	10,19,12	85,122,39	287	149
156	0,1,0	0,0,1	1,0,1	1,2,0	238	149
158	1,1,3	2,0,2	0,3,0	0,4,1	225	149
160	16,38,19	62,57,66	30,18,10	66,92,49	246	149
161	55,58,78	347,342,357	53,40,10	477,805,431	260	149
163	0,2,2	44,112,44	0,4,2	38,70,26	290	149
165	13,18,6	12,15,10	5,18,1	4,9,7	229	149
166	5,0,0	212,146,148	1,1,3	130,362,154	235	149
169	13,17,9	13,31,8	3,13,4	21,61,8	246	149
170	10,16,8	487,650,596	9,11,13	734,1168,615	222	149
171	26,25,32	477,456,488	22,39,21	304,565,283	232	149
172	15,20,21	4,3,4	16,32,12	0,1,0	214	149
174	25,15,14	14,16,10	2,8,0	20,36,10	216	149
177	1,4,0	24,26,4	1,1,0	6,18,15	247	149
179	4,18,12	123,170,190	13,12,4	101,98,61	261	149
180	7,6,1	579,667,633	4,10,2	917,1484,645	234	149
181	167,189,210	0,0,0	173,254,128	7,1,0	214	149
182	11,20,20	126,141,129	17,17,2	97,224,96	259	149
183	8,10,10	24,14,13	0,5,2	19,34,3	247	149
184	10,14,6	0,0,0	11,18,11	1,2,0	223	149
186	30,27,13	21,21,5	18,29,15	18,45,20	241	149
187	82,83,77	849,1136,1013	41,42,43	910,1460,847	213	149
188	1,0,0	7,15,19	1,4,0	3,30,15	222	149
189	0,0,0	31,25,41	0,2,0	45,89,42	230	149
190	6,3,4	442,591,525	3,3,2	412,915,470	220	149
191	174,180,104	1,1,0	144,161,93	5,0,0	298	149
192	0,0,1	95,101,53	0,2,0	14,31,15	298	149
193	67,58,43	2,1,0	30,65,30	0,9,4	231	149
194	13,9,7	9,7,3	4,2,4	2,9,4	298	149
195	1,4,2	34,45,16	0,0,0	13,23,16	269	149
196	14,19,10	1040,1122,924	17,39,8	1181,2199,998	276	149
198	12,21,7	149,175,121	1,8,7	81,170,71	235	149
199	1,5,6	138,200,126	2,2,2	131,261,107	287	149
200	17,27,18	1498,1800,1266	11,8,4	896,1192,665	298	149
201	25,40,33	0,0,4	18,17,12	0,3,1	298	149
202	26,42,41	0,0,0	21,19,17	0,3,0	298	149
203	5,10,8	27,23,23	1,11,9	27,28,25	253	149
204	92,128,128	21,64,79	141,151,94	60,86,46	232	149
205	2,2,1	118,110,95	1,5,0	177,244,93	281	149
206	14,43,28	459,492,480	31,20,12	644,610,394	298	149
207	37,36,33	39,37,42	77,54,24	39,46,36	298	149
208	9,3,11	104,144,85	13,21,5	153,219,82	298	149
210	1012,1263,1025	22,45,41	1377,2151,1187	74,70,27	298	149
212	173,234,187	1,0,0	200,342,187	1,2,1	235	149
213	1,2,0	0,2,0	2,3,0	4,3,0	250	149
214	1,3,6	24,25,10	4,4,2	25,29,18	240	149
215	119,120,100	4,4,7	103,199,113	13,9,6	298	149
216	16,10,12	137,146,127	17,34,18	124,202,116	252	149
217	12,37,25	643,760,675	13,16,2	370,505,271	237	149
218	93,111,106	1659,1911,1298	1,15,5	703,1202,627	241	149
219	8,19,22	83,106,102	13,29,16	100,127,66	234	149
220	3,6,3	497,466,402	6,6,9	564,534,263	244	149
221	34,32,29	22,16,5	36,32,11	20,31,36	217	149
222	14,19,9	0,0,0	15,24,9	0,0,2	254	149
223	24,31,22	36,37,23	2,10,5	20,56,28	293	149
224	5,2,0	28,17,17	0,1,1	23,54,26	241	149
225	8,12,10	534,715,745	4,7,2	813,1110,596	239	149
226	62,61,65	343,305,265	14,20,5	247,585,304	241	149
227	4,2,10	16,20,16	4,1,1	14,13,19	221	149
228	8,23,16	111,145,135	10,15,13	176,322,153	251	149
229	8,22,15	0,0,0	10,16,8	0,1,1	248	149
231	7,31,6	108,96,59	21,28,16	86,156,99	244	149
232	3,1,0	39,47,36	0,0,0	13,50,22	227	149
233	0,1,0	237,325,279	0,0,0	145,212,116	259	149
235	6,23,13	159,156,105	1,7,4	120,132,70	238	149
236	178,182,205	1,0,0	211,208,133	6,3,2	250	149
237	16,18,17	83,93,108	8,7,7	46,131,68	241	149
238	14,54,48	355,563,447	27,52,37	255,291,220	298	149
239	3,9,3	0,1,0	3,7,1	0,0,0	264	149
240	6,16,21	70,129,108	1,6,8	102,130,85	263	149
241	2,9,6	66,64,78	7,4,1	57,87,54	263	149
243	11,23,22	411,462,471	16,23,15	456,816,459	238	149
244	11,13,22	7,24,9	2,10,6	6,8,1	298	149
247	4,4,11	1252,1609,1521	2,6,1	1114,1424,756	240	149
248	9,21,20	106,102,141	22,25,20	61,62,30	298	149
249	9,17,11	207,341,278	1,7,7	144,209,115	234	149
251	90,73,82	3,4,1	46,121,50	4,2,1	259	149
252	2,8,4	11,15,24	4,6,1	10,22,16	233	149
253	6,10,5	203,205,236	5,13,6	132,443,194	217	149
254	205,311,303	945,1317,1251	259,377,152	1357,1702,956	232	149
255	16,7,16	0,0,0	7,12,4	0,0,2	298	149
256	6,11,19	88,150,132	20,24,12	205,304,116	228	149
257	16,17,16	3,3,1	3,4,4	3,2,4	229	149
258	22,13,12	973,1072,1201	14,22,9	1452,2422,1164	246	149
259	15,27,29	226,309,270	13,25,7	242,293,133	247	149
260	22,30,21	213,291,235	3,6,4	149,265,138	227	149
261	2,1,1	14,9,14	2,1,2	42,36,9	282	149
263	11,7,10	9,13,23	8,18,14	30,57,32	298	149
265	1,2,0	26,72,31	0,0,0	20,42,19	298	149
266	139,159,198	0,0,0	170,301,186	0,1,0	298	149
267	6,4,2	2,0,2	0,0,2	6,17,8	216	149
268	1,7,0	1,0,0	5,7,3	0,0,0	281	149
269	0,3,1	41,34,33	0,0,1	67,72,49	238	149
271	200,244,262	3,2,0	336,381,198	9,15,11	239	149
275	15,10,10	341,427,346	10,15,6	374,548,248	252	149
278	31,25,26	324,331,346	11,20,7	395,592,295	260	149
279	34,36,31	127,102,103	53,66,27	145,223,105	226	149
280	5,12,4	83,97,72	2,24,7	68,160,81	229	149
283	8,7,4	364,429,325	3,4,0	270,280,159	249	149
284	18,18,12	325,354,243	21,27,21	177,193,101	285	149
286	3,5,4	27,51,36	3,3,2	51,41,26	298	149
287	74,123,94	97,131,68	0,0,0	96,130,70	256	149
288	2,9,7	26,25,37	9,14,9	28,65,37	234	149
291	30,32,22	70,89,104	28,38,23	132,175,93	230	149
294	3,4,2	79,96,69	8,2,4	70,103,28	227	149
295	14,18,18	34,21,33	12,26,10	28,87,53	298	149
297	39,54,31	0,0,0	19,56,14	0,1,2	274	149
298	57,88,88	24,41,26	50,63,35	73,61,57	225	149
299	66,53,49	252,286,177	6,14,4	207,373,171	298	149
300	0,3,3	88,105,103	1,4,3	115,131,62	236	149
301	3,16,5	973,1285,1191	14,20,13	1654,2334,1109	233	149
304	7,13,5	551,643,515	15,9,4	794,855,472	241	149
305	4,0,2	40,55,29	3,0,1	49,83,47	262	149
307	1946,2510,2150	12,23,11	3733,3678,2093	21,13,14	196	149
308	8,5,11	72,105,87	1,6,2	116,172,88	238	149
309	29,28,17	12,10,8	10,26,28	10,16,6	258	149
