ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
144	30,35,28	8,4,1	34,29,11	4,2,6	353	149
145	10,1,6	92,62,46	2,10,0	46,244,79	319	149
147	0,1,0	157,154,122	1,5,0	106,166,92	263	149
148	21,17,17	0,1,5	21,43,13	1,2,2	263	149
149	12,8,12	39,74,60	13,23,7	77,133,73	249	149
150	1,0,1	27,15,12	1,3,0	32,56,39	242	149
151	8,9,8	154,149,117	7,10,3	203,285,141	230	149
152	1,4,4	49,87,52	4,4,0	59,108,54	232	149
153	0,1,0	3,20,7	0,1,2	7,7,7	359	149
154	25,37,34	478,699,476	11,21,18	361,894,449	508	149
155	26,39,19	61,52,50	10,19,12	85,122,39	288	149
156	0,1,0	0,0,1	1,0,1	1,2,0	239	149
158	1,1,3	2,0,2	0,3,0	0,4,1	226	149
160	16,38,19	62,57,66	30,18,10	66,92,49	247	149
161	55,58,78	347,342,357	53,40,10	477,805,431	261	149
163	0,2,2	44,112,44	0,4,2	38,70,26	291	149
165	13,18,6	12,15,10	5,18,1	4,9,7	230	149
166	5,0,0	212,146,148	1,1,3	130,362,154	236	149
169	13,17,9	13,31,8	3,13,4	21,61,8	247	149
170	10,16,8	487,650,596	9,11,13	734,1168,615	223	149
171	26,25,32	477,456,488	22,39,21	304,565,283	233	149
172	15,20,21	4,3,4	16,32,12	0,1,0	215	149
174	25,15,14	14,16,10	2,8,0	20,36,10	217	149
177	1,4,0	24,26,4	1,1,0	6,18,15	248	149
179	4,18,12	123,170,190	13,12,4	101,98,61	262	149
180	7,6,1	579,667,633	4,10,2	917,1484,645	235	149
181	167,189,210	0,0,0	173,254,128	7,1,0	215	149
182	11,20,20	126,141,129	17,17,2	97,224,96	260	149
183	8,10,10	24,14,13	0,5,2	19,34,3	248	149
184	10,14,6	0,0,0	11,18,11	1,2,0	224	149
186	30,27,13	21,21,5	18,29,15	18,45,20	242	149
187	82,83,77	849,1136,1013	41,42,43	910,1460,847	214	149
188	1,0,0	7,15,19	1,4,0	3,30,15	223	149
189	0,0,0	31,25,41	0,2,0	45,89,42	231	149
190	6,3,4	442,591,525	3,3,2	412,915,470	221	149
191	178,187,110	1,1,0	145,162,93	5,0,0	305	149
192	0,0,1	95,101,53	0,2,0	14,31,15	402	149
193	67,58,43	2,1,0	30,65,30	0,9,4	232	149
194	13,11,7	9,7,3	4,4,6	2,9,4	321	149
195	1,4,2	34,45,16	0,0,0	13,23,16	270	149
196	14,19,10	1040,1122,924	17,39,8	1181,2199,998	277	149
198	12,21,7	149,175,121	1,8,7	81,170,71	236	149
199	1,5,6	138,200,126	2,2,2	131,261,107	288	149
200	39,51,47	1498,1800,1266	25,24,17	896,1192,665	466	149
201	35,47,45	0,0,4	25,22,17	0,3,1	378	149
202	34,47,43	0,0,0	25,22,17	0,3,0	359	149
203	5,10,8	27,23,23	1,11,9	27,28,25	254	149
204	92,128,128	21,64,79	141,151,94	60,86,46	233	149
205	2,2,1	118,110,95	1,5,0	177,244,93	282	149
206	17,57,37	459,492,480	33,30,18	644,610,394	552	149
207	52,43,45	39,37,42	83,64,38	39,46,36	761	149
208	24,10,23	104,144,85	19,31,19	153,219,82	744	149
210	2711,3326,2768	22,45,41	3832,5937,3217	74,70,27	716	149
212	173,234,187	1,0,0	200,342,187	1,2,1	236	149
213	1,2,0	0,2,0	2,3,0	4,3,0	251	149
214	1,3,6	24,25,10	4,4,2	25,29,18	241	149
215	120,120,101	4,4,7	103,199,113	13,9,6	326	149
216	16,10,12	137,146,127	17,34,18	124,202,116	253	149
217	12,37,25	643,760,675	13,16,2	370,505,271	238	149
218	93,111,106	1659,1911,1298	1,15,5	703,1202,627	242	149
219	8,19,22	83,106,102	13,29,16	100,127,66	235	149
220	3,6,3	497,466,402	6,6,9	564,534,263	245	149
221	34,32,29	22,16,5	36,32,11	20,31,36	218	149
222	14,19,9	0,0,0	15,24,9	0,0,2	255	149
223	24,31,22	36,37,23	2,10,5	20,56,28	294	149
224	5,2,0	28,17,17	0,1,1	23,54,26	242	149
225	8,12,10	534,715,745	4,7,2	813,1110,596	240	149
226	62,61,65	343,305,265	14,20,5	247,585,304	242	149
227	4,2,10	16,20,16	4,1,1	14,13,19	222	149
228	8,23,16	111,145,135	10,15,13	176,322,153	252	149
229	8,22,15	0,0,0	10,16,8	0,1,1	249	149
231	7,31,6	108,96,59	21,28,16	86,156,99	245	149
232	3,1,0	39,47,36	0,0,0	13,50,22	228	149
233	0,1,0	237,325,279	0,0,0	145,212,116	260	149
235	6,23,13	159,156,105	1,7,4	120,132,70	239	149
236	178,182,205	1,0,0	211,208,133	6,3,2	251	149
237	16,18,17	83,93,108	8,7,7	46,131,68	242	149
238	19,66,56	355,563,447	28,60,43	255,291,220	415	149
239	3,9,3	0,1,0	3,7,1	0,0,0	265	149
240	6,16,21	70,129,108	1,6,8	102,130,85	264	149
241	2,9,6	66,64,78	7,4,1	57,87,54	264	149
243	11,23,22	411,462,471	16,23,15	456,816,459	239	149
244	11,13,23	7,24,9	2,10,6	6,8,1	445	149
247	4,4,11	1252,1609,1521	2,6,1	1114,1424,756	241	149
248	10,21,22	106,102,141	23,27,20	61,62,30	327	149
249	9,17,11	207,341,278	1,7,7	144,209,115	235	149
251	90,73,82	3,4,1	46,121,50	4,2,1	260	149
252	2,8,4	11,15,24	4,6,1	10,22,16	234	149
253	6,10,5	203,205,236	5,13,6	132,443,194	218	149
254	205,311,303	945,1317,1251	259,377,152	1357,1702,956	233	149
255	23,11,17	0,0,0	7,19,6	0,0,2	427	149
256	6,11,19	88,150,132	20,24,12	205,304,116	229	149
257	16,17,16	3,3,1	3,4,4	3,2,4	230	149
258	22,13,12	973,1072,1201	14,22,9	1452,2422,1164	247	149
259	15,27,29	226,309,270	13,25,7	242,293,133	248	149
260	22,30,21	213,291,235	3,6,4	149,265,138	228	149
261	2,1,1	14,9,14	2,1,2	42,36,9	283	149
263	24,14,28	9,13,23	13,33,23	30,57,32	688	149
265	1,2,0	26,72,31	0,0,0	20,42,19	575	149
266	155,185,228	0,0,0	191,345,203	0,1,0	346	149
267	6,4,2	2,0,2	0,0,2	6,17,8	217	149
268	1,7,0	1,0,0	5,7,3	0,0,0	282	149
269	0,3,1	41,34,33	0,0,1	67,72,49	239	149
271	200,244,262	3,2,0	336,381,198	9,15,11	240	149
275	15,10,10	341,427,346	10,15,6	374,548,248	253	149
278	31,25,26	324,331,346	11,20,7	395,592,295	261	149
279	34,36,31	127,102,103	53,66,27	145,223,105	227	149
280	5,12,4	83,97,72	2,24,7	68,160,81	230	149
283	8,7,4	364,429,325	3,4,0	270,280,159	250	149
284	18,18,12	325,354,243	21,27,21	177,193,101	286	149
286	3,5,4	27,51,36	4,3,2	51,41,26	342	149
287	74,123,94	97,131,68	0,0,0	96,130,70	257	149
288	2,9,7	26,25,37	9,14,9	28,65,37	235	149
291	30,32,22	70,89,104	28,38,23	132,175,93	231	149
294	3,4,2	79,96,69	8,2,4	70,103,28	228	149
295	14,20,22	34,21,33	15,30,11	28,87,53	387	149
297	39,54,31	0,0,0	19,56,14	0,1,2	275	149
298	57,88,88	24,41,26	50,63,35	73,61,57	226	149
299	76,65,62	252,286,177	7,14,8	207,373,171	478	149
300	0,3,3	88,105,103	1,4,3	115,131,62	237	149
301	3,16,5	973,1285,1191	14,20,13	1654,2334,1109	234	149
304	7,13,5	551,643,515	15,9,4	794,855,472	242	149
305	4,0,2	40,55,29	3,0,1	49,83,47	263	149
307	1946,2510,2150	12,23,11	3733,3678,2093	21,13,14	197	149
308	8,5,11	72,105,87	1,6,2	116,172,88	239	149
309	29,28,17	12,10,8	10,26,28	10,16,6	259	149
310	114,182,152	0,7,1	186,231,162	36,41,28	233	149
311	32,37,22	484,389,375	19,17,14	492,584,301	235	149
314	2,0,2	0,0,2	3,5,1	3,0,2	269	149
315	12,28,10	25,23,5	2,23,7	8,48,23	234	149
316	6,19,18	194,232,182	22,24,11	193,326,144	262	149
317	0,0,1	31,71,51	1,8,0	41,106,35	236	149
322	15,18,10	4,0,0	5,37,21	4,6,2	331	149
323	5,4,2	175,218,189	1,12,7	208,317,200	241	149
324	15,15,8	2,4,0	7,15,2	0,1,0	240	149
325	11,7,12	22,23,8	8,16,4	5,11,7	272	149
326	4,5,7	159,155,162	5,3,0	90,153,100	240	149
327	0,1,1	0,0,0	0,1,0	2,0,0	236	149
329	10,9,10	33,26,29	5,16,6	34,35,28	241	149
330	25,36,26	32,33,24	16,21,9	23,85,42	302	149
331	8,12,3	5,8,12	2,2,1	7,32,12	245	149
332	34,41,41	0,0,0	33,63,22	0,2,0	296	149
333	6,7,0	0,0,0	1,4,3	0,3,2	234	149
336	20,21,41	77,79,98	21,19,16	134,204,95	223	149
337	15,12,10	526,646,548	12,32,14	685,1019,580	236	149
338	84,83,81	0,0,0	130,151,109	0,3,1	248	149
340	5,1,5	70,75,66	7,1,0	122,126,47	473	149
341	9,21,16	82,96,102	37,15,5	123,183,74	615	149
343	4,6,1	15,23,10	3,6,0	12,35,8	221	149
344	4,6,1	1,0,0	3,6,0	2,1,0	230	149
345	5,3,1	28,23,21	4,1,0	28,58,21	247	149
346	68,80,73	2,0,0	53,141,68	2,1,7	265	149
348	0,5,2	16,14,12	0,1,0	5,18,8	218	149
349	0,1,5	87,134,98	0,1,1	136,183,130	235	149
351	0,1,1	2,0,13	5,2,2	23,10,12	269	149
352	4,5,4	0,8,0	1,1,0	8,8,4	308	149
353	1,4,0	8,3,6	0,3,0	7,14,4	992	149
354	3,4,5	206,261,203	2,9,2	246,547,218	273	149
355	18,26,28	0,0,0	15,16,19	0,0,2	283	149
356	18,17,28	82,88,92	2,1,4	49,118,62	254	149
357	10,17,18	1689,1705,1782	18,44,30	3161,5131,2761	342	149
358	15,8,19	6,1,7	29,24,18	4,14,1	227	149
359	4,6,10	124,132,129	4,26,7	106,237,124	244	149
360	62,74,83	44,66,64	67,110,59	231,250,147	233	149
361	28,16,8	10,9,6	6,17,7	0,14,6	335	149
362	28,16,8	5,9,6	6,17,7	1,4,6	338	149
363	9,5,13	10,23,7	5,5,6	5,22,0	309	149
364	0,21,9	74,68,4	4,149,5	71,7,72	170	149
365	1,21,8	0,0,2	3,156,6	0,2,0	212	149
366	1,7,3	9,15,2	3,137,2	0,30,9	191	149
367	5,9,3	1,4,4	6,155,7	1,3,2	212	149
368	8,27,18	0,0,0	17,172,14	0,4,0	272	149
369	8,17,14	1,0,0	17,169,11	0,0,0	251	149
370	9,19,16	0,1,2	20,169,12	4,3,0	230	149
371	15,26,24	2,6,1	19,189,26	0,1,9	218	149
372	16,31,30	2,0,0	31,194,29	0,2,0	269	149
373	15,33,35	0,37,52	38,204,37	64,120,54	272	149
374	0,1,1	52,53,46	2,4,1	117,102,68	215	149
375	14,9,12	2,8,19	4,6,3	27,33,26	247	149
376	200,218,162	0,0,0	150,348,204	0,3,0	230	149
377	0,0,2	12,27,19	0,0,1	18,24,20	222	149
378	28,15,22	504,583,573	14,18,12	732,894,505	591	149
380	1387,1797,1777	2,7,9	2523,3160,1653	20,23,6	200	149
381	33,35,37	228,197,199	11,22,14	234,244,121	311	149
382	2,3,0	23,25,11	1,0,0	8,28,10	263	149
384	4,2,3	0,0,0	1,2,1	2,4,3	242	149
385	1,0,1	104,90,73	0,2,0	58,94,42	233	149
387	0,0,2	57,41,70	0,0,0	68,95,34	224	149
389	15,9,9	2,13,7	9,22,7	5,13,2	272	149
391	25,34,27	61,92,81	41,54,40	119,109,52	232	149
392	12,26,6	5,4,8	5,9,8	7,11,4	340	149
394	4,1,9	20,9,10	0,5,0	10,18,5	232	149
396	317,437,403	0,0,0	620,840,427	2,1,0	245	149
397	13,17,21	70,94,91	8,18,7	124,119,60	227	149
398	7,12,6	440,446,433	14,24,11	763,1327,675	227	149
399	3,0,0	0,0,2	1,0,3	0,1,1	236	149
401	1,0,0	0,0,0	1,0,2	0,0,1	179	149
402	136,159,156	0,2,2	166,178,77	3,2,2	233	149
403	12,2,9	104,65,62	5,45,14	86,295,166	245	149
404	54,51,33	34,21,8	34,148,98	5,52,14	285	149
405	21,18,12	1062,598,555	3,8,4	267,704,274	238	149
406	994,586,680	86,62,74	418,884,371	155,333,173	239	149
407	809,440,621	18,12,14	513,1087,504	9,19,9	223	149
408	812,441,621	6,2,3	513,1090,504	1,4,6	226	149
410	6,11,7	9,13,9	3,2,2	44,23,21	228	149
413	6,7,1	90,97,85	5,8,5	109,148,77	221	149
415	16,32,23	38,80,54	0,5,4	64,119,66	291	149
416	5,14,6	602,744,610	4,4,8	554,767,451	376	149
417	6,15,13	1,0,0	10,11,5	0,0,0	253	149
419	9,16,21	0,0,0	9,19,11	4,1,5	239	149
420	37,28,24	272,234,110	4,2,3	114,249,86	301	149
421	27,30,18	0,2,0	55,54,25	2,2,0	595	149
422	14,15,12	0,0,0	13,26,16	5,0,1	455	149
423	1,4,1	4,12,7	0,2,2	23,30,7	233	149
424	52,94,81	36,51,39	64,197,113	19,49,40	229	149
425	53,102,82	272,329,311	66,203,113	242,527,243	244	149
427	4,2,4	31,32,20	2,4,0	74,108,40	240	149
428	2,10,7	0,0,0	5,9,1	0,2,0	259	149
429	30,32,36	2,7,5	21,45,21	7,25,9	466	149
430	30,32,36	8,8,2	21,44,21	5,21,12	463	149
431	36,53,62	267,411,416	18,23,19	491,765,357	229	149
432	30,40,51	0,2,2	46,70,44	4,2,3	224	149
433	3,12,8	137,167,116	6,7,3	164,188,103	241	149
434	40,77,67	241,261,325	72,90,54	281,352,153	479	149
435	11,5,3	21,23,26	9,18,3	35,26,11	379	149
436	2,3,2	293,276,220	2,5,3	191,354,206	330	149
437	1,0,1	177,267,320	4,4,2	239,318,121	245	149
438	21,25,34	159,255,253	8,9,13	187,314,108	244	149
440	2,2,2	130,209,179	3,7,0	267,360,207	233	149
444	172,266,230	29,35,25	108,169,77	36,66,36	277	149
445	8,17,10	49,73,29	10,24,9	26,55,38	219	149
446	2,0,2	60,70,54	3,4,2	63,96,46	244	149
447	2,7,16	55,78,47	3,10,2	55,68,39	262	149
448	8,12,17	47,124,77	7,6,1	58,112,50	388	149
449	0,0,3	514,590,376	0,4,1	376,904,427	248	149
450	103,106,64	125,156,90	2,7,3	63,194,77	294	149
452	30,43,30	42,60,40	6,9,3	73,77,38	277	149
454	1,5,5	196,263,220	7,2,0	144,199,122	224	149
455	1,0,1	73,96,78	0,0,0	66,141,40	224	149
456	1,10,1	5,16,14	8,10,1	18,10,8	223	149
458	2,5,7	131,219,235	11,15,3	305,397,240	377	149
459	20,25,28	15,16,4	8,15,9	4,17,9	224	149
461	10,16,16	2724,2873,2569	13,21,15	3606,4701,2367	376	149
463	6,21,7	432,498,475	16,30,4	766,1188,524	233	149
464	28,29,30	162,159,134	33,52,22	215,344,155	234	149
465	36,47,63	203,276,276	66,78,52	146,172,84	230	149
466	15,29,30	7,17,5	20,34,15	32,36,16	209	149
468	446,707,652	0,0,0	690,1047,560	2,1,1	234	149
469	4,9,6	4,1,6	6,6,5	11,14,0	225	149
470	9,25,26	248,279,208	3,25,18	152,254,127	381	149
471	43,70,56	13,13,24	15,32,26	21,45,15	305	149
472	0,0,0	5,15,11	1,0,0	13,13,12	321	149
473	57,105,104	95,110,120	58,107,62	205,230,121	320	149
474	30,46,47	0,0,0	32,44,18	2,3,1	283	149
475	1,1,0	17,11,9	8,6,3	16,16,10	238	149
476	0,2,0	26,17,9	2,1,0	39,34,15	246	149
477	14,20,24	63,43,56	31,58,32	55,72,33	534	149
478	4,1,2	7,1,1	0,1,0	0,3,4	403	149
479	2,2,4	156,260,232	2,5,1	198,281,114	229	149
480	6,10,11	62,78,56	6,6,3	60,59,43	396	149
481	567,986,577	103,185,103	592,526,277	222,117,91	200	149
482	4,0,2	0,0,0	10,7,8	1,1,0	226	149
483	21,26,16	100,118,83	0,1,3	36,60,29	436	149
484	46,81,48	1,2,2	8,43,17	1,1,2	228	149
485	88,115,109	2,4,7	87,171,97	6,5,1	220	149
489	8,6,5	2,0,2	1,11,5	0,3,0	233	149
490	1,3,4	61,87,71	2,3,2	60,133,65	248	149
492	2,11,11	6,16,13	5,10,4	22,51,17	254	149
493	11,18,19	0,0,0	5,35,10	0,0,2	244	149
