ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
154	2,1,3	426,378,676	3,1,3	1028,427,1095	458	99
155	2,1,6	28,29,55	2,1,5	64,34,65	238	99
160	7,4,13	40,27,54	4,2,10	45,34,50	197	99
161	8,6,16	172,137,212	9,5,12	340,228,377	211	99
163	0,0,2	124,100,199	0,0,0	146,85,136	241	99
165	1,2,3	10,10,32	1,1,1	39,10,28	180	99
166	3,1,2	152,143,236	10,5,8	275,148,295	186	99
169	15,18,39	24,35,40	24,10,18	101,42,118	197	99
170	2,2,1	360,281,495	2,0,0	500,334,633	173	99
171	4,4,5	217,158,302	4,8,6	224,155,287	183	99
172	0,1,2	0,0,3	1,2,1	1,0,0	165	99
174	8,2,7	5,2,6	2,0,8	16,7,14	167	99
179	4,2,6	61,65,95	4,6,6	74,56,64	212	99
180	1,1,0	983,790,1115	0,0,0	902,584,915	185	99
181	2,4,12	0,1,4	7,3,3	0,0,0	165	99
182	0,0,0	158,111,201	0,1,0	259,134,281	210	99
183	0,0,0	17,12,15	1,0,0	21,20,9	198	99
186	2,1,3	24,16,26	1,1,1	43,23,44	192	99
187	30,18,41	757,570,834	27,16,33	718,487,944	164	99
189	0,0,0	39,23,29	0,0,2	51,36,56	181	99
190	0,0,0	498,342,653	0,0,1	719,374,710	171	99
191	7,3,8	0,0,0	5,3,14	4,0,1	255	99
193	2,2,5	4,1,1	4,5,4	5,2,6	182	99
194	1,0,0	13,10,13	0,0,0	15,7,13	271	99
196	0,1,3	1162,891,1453	0,0,1	1803,1014,1986	227	99
198	2,0,4	139,78,131	0,1,1	117,78,127	186	99
199	4,1,0	123,108,219	0,0,1	171,107,180	238	99
200	0,1,4	1698,1310,2637	4,1,1	2810,958,2228	416	99
201	0,1,4	1,1,1	4,1,0	5,1,3	328	99
202	0,1,4	2,0,3	3,1,0	1,4,0	309	99
203	0,0,1	17,10,22	0,0,1	14,11,27	204	99
204	82,41,95	74,34,82	68,47,76	70,68,96	183	99
205	3,2,3	166,105,220	0,0,3	216,165,200	232	99
206	14,10,18	467,330,525	12,9,17	444,304,550	502	99
207	28,30,32	22,23,38	25,20,45	33,11,33	711	99
208	3,5,6	126,74,111	2,3,3	112,82,112	694	99
210	306,232,382	41,34,67	264,239,337	53,32,61	666	99
212	15,14,32	0,1,1	31,19,32	2,2,5	186	99
213	0,2,3	0,1,2	3,0,0	2,2,0	201	99
214	4,0,2	47,33,65	0,1,1	51,32,49	191	99
215	68,64,102	0,8,8	119,72,115	4,2,10	276	99
216	1,3,4	102,96,179	4,9,20	188,104,175	203	99
218	7,4,9	1106,969,1610	0,0,3	1421,574,1470	192	99
219	0,1,0	56,46,62	0,0,0	56,34,57	185	99
220	0,0,1	760,522,904	0,1,0	628,362,740	195	99
221	6,8,4	7,5,8	5,7,8	25,9,30	168	99
223	0,0,1	26,30,46	2,0,1	41,33,57	244	99
224	1,0,0	9,21,25	0,0,0	20,16,32	192	99
225	12,5,13	474,338,534	9,4,11	515,396,583	190	99
226	2,7,7	281,253,312	3,1,8	350,198,457	192	99
227	0,0,0	17,20,19	0,0,2	11,6,20	172	99
228	5,3,1	97,59,101	3,1,3	106,93,148	202	99
229	5,3,1	0,0,0	2,1,1	2,2,0	199	99
231	9,11,8	125,94,169	9,11,7	221,98,208	195	99
232	1,0,0	46,41,72	0,0,0	64,29,64	178	99
235	2,3,0	165,119,167	0,0,0	179,86,162	189	99
236	42,41,35	0,1,2	57,34,87	1,1,0	201	99
237	2,0,4	33,40,51	5,0,4	77,50,98	192	99
238	21,11,13	221,176,233	22,9,17	283,155,274	365	99
239	8,8,14	3,0,0	4,8,2	2,1,3	215	99
240	5,4,13	69,42,56	6,1,4	93,58,106	214	99
241	1,1,0	64,39,59	0,0,1	42,37,70	214	99
244	3,4,4	20,12,10	1,0,2	8,4,10	395	99
247	1,0,1	1191,791,1324	0,0,0	915,572,1060	191	99
248	1,0,6	69,48,66	1,3,3	50,17,23	277	99
249	0,1,0	153,103,204	0,1,0	146,84,177	185	99
251	0,4,1	3,1,5	1,0,0	5,0,4	210	99
252	1,2,0	14,5,10	0,1,0	12,7,18	184	99
253	1,1,0	178,160,234	0,0,0	269,163,310	168	99
254	110,92,115	898,676,1065	123,43,171	1038,690,1308	183	99
256	3,0,5	86,68,100	3,2,1	128,85,122	179	99
257	18,19,26	13,9,11	7,4,8	24,5,5	180	99
258	19,18,22	1087,834,1430	25,14,16	1405,968,1476	197	99
259	2,1,3	187,126,217	5,1,1	185,137,213	198	99
260	1,3,3	183,137,190	0,0,1	198,139,232	178	99
261	1,1,2	19,7,19	1,0,3	13,4,21	233	99
263	1,1,3	18,14,25	0,1,4	25,12,25	638	99
264	0,1,0	7,18,19	0,0,1	25,7,23	180	99
267	0,0,0	1,0,2	1,0,0	5,9,3	167	99
268	1,1,0	0,0,0	3,2,0	0,1,0	232	99
269	0,1,0	41,28,55	1,1,2	60,34,41	189	99
271	11,7,11	0,0,2	7,14,8	3,1,4	190	99
274	63,38,68	0,0,2	88,41,76	0,0,0	221	99
275	5,9,11	330,317,431	5,1,7	515,236,398	203	99
278	8,3,3	262,201,313	4,10,2	326,212,320	211	99
279	0,1,4	102,88,131	1,1,0	171,90,192	177	99
280	0,0,1	64,86,117	0,2,0	133,88,172	180	99
283	0,0,0	210,150,262	1,0,0	193,123,199	200	99
284	5,3,1	204,149,253	4,5,4	173,124,225	236	99
286	1,0,0	73,30,43	0,0,0	48,29,57	292	99
287	3,1,1	102,72,138	0,0,0	135,71,168	207	99
288	0,0,0	44,33,46	0,0,1	41,21,54	185	99
291	1,4,4	84,51,75	2,5,3	104,91,97	181	99
293	2,1,1	0,1,1	3,0,0	1,0,0	228	99
294	2,2,2	81,58,128	0,1,0	96,40,112	178	99
297	2,1,1	0,1,0	3,2,3	0,0,3	225	99
298	52,20,43	56,42,54	18,20,23	112,61,113	176	99
299	15,8,26	310,260,445	12,3,18	498,240,512	428	99
300	0,0,0	68,76,113	0,0,1	92,57,114	187	99
301	0,0,1	794,632,949	1,3,0	1026,598,1071	184	99
304	1,2,1	568,370,688	2,2,1	524,369,579	192	99
305	1,1,2	53,55,66	2,1,0	101,55,129	213	99
307	1960,1379,2488	19,6,17	2027,1460,2370	17,6,10	147	99
308	2,0,0	91,80,117	0,0,0	136,81,135	189	99
309	4,1,1	16,12,23	0,1,2	39,17,35	209	99
310	12,5,9	0,2,1	5,4,3	9,11,10	183	99
311	1,0,0	582,446,964	0,0,0	614,347,589	185	99
314	1,0,0	3,1,0	0,2,1	1,0,1	219	99
315	1,1,0	40,28,64	0,0,0	99,40,93	184	99
316	1,0,0	153,138,180	0,0,0	195,121,241	212	99
317	0,2,1	52,48,106	1,5,7	113,35,91	186	99
320	213,186,290	0,1,0	257,165,222	0,1,0	145	99
322	1,0,1	0,0,1	1,0,2	9,6,9	281	99
323	4,3,5	184,140,242	2,0,1	253,127,272	191	99
324	2,1,1	1,0,4	1,0,0	0,1,1	190	99
325	0,0,1	14,14,31	0,1,1	16,10,9	222	99
326	1,3,1	73,58,81	0,5,0	66,41,90	190	99
329	5,3,6	36,20,39	6,4,8	54,24,54	191	99
330	5,6,4	42,21,34	6,1,4	30,44,58	252	99
331	0,0,1	9,4,27	0,0,0	21,8,13	195	99
332	25,28,45	0,0,0	51,29,52	0,2,1	246	99
333	0,0,0	2,1,4	1,0,2	9,2,9	184	99
336	5,0,1	43,34,52	3,1,3	115,69,126	173	99
337	6,0,5	755,571,898	1,4,4	804,475,832	186	99
338	110,90,141	0,0,1	115,80,128	0,1,1	198	99
341	4,5,6	69,66,121	6,3,5	114,78,117	565	99
343	0,1,0	24,22,36	0,0,3	39,21,50	171	99
344	0,1,0	1,1,0	0,0,3	3,0,0	180	99
345	0,1,1	30,17,28	0,0,2	43,22,26	197	99
346	1,5,5	1,1,2	4,2,8	4,4,8	215	99
349	0,3,3	94,84,85	0,0,0	115,87,162	185	99
352	0,0,1	11,6,11	0,1,1	21,14,13	258	99
354	2,1,0	234,232,307	0,0,0	418,266,510	223	99
355	2,0,2	0,0,0	1,0,1	0,0,2	233	99
356	4,4,5	73,57,100	1,1,1	66,29,73	204	99
357	0,0,2	1094,818,1461	2,2,2	3245,1733,3383	292	99
358	1,0,1	3,4,7	0,0,0	5,5,3	177	99
359	0,1,0	119,109,178	0,0,1	218,120,188	194	99
360	26,26,30	26,18,35	28,14,22	96,63,102	183	99
361	0,0,2	8,9,13	1,0,1	27,19,12	285	99
362	0,0,2	7,8,8	1,0,1	12,5,10	288	99
363	1,0,0	18,15,29	0,0,1	20,13,29	259	99
364	46,19,31	161,93,17	43,26,121	7,201,45	120	99
365	28,13,14	73,38,62	19,14,70	133,26,214	141	99
366	36,22,32	0,0,0	46,28,65	0,0,7	183	99
367	18,13,16	16,13,19	32,17,60	18,14,7	162	99
368	40,25,37	0,0,2	50,30,70	0,0,0	222	99
369	34,27,41	6,2,1	44,33,74	13,2,2	180	99
370	75,45,77	0,0,0	123,42,148	0,0,142	138	99
371	45,28,40	0,0,0	56,34,74	2,0,0	252	99
