ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
179	3,5,5	26,40,61	3,6,6	58,16,34	118	99
181	11,0,8	70,47,94	8,2,10	85,59,84	126	99
182	46,30,71	1,0,1	60,48,80	0,0,0	124	99
183	1,0,1	4,1,4	2,0,0	5,2,8	111	99
185	44,34,66	0,0,0	60,41,87	1,0,1	102	99
186	14,2,13	296,208,280	7,4,5	295,209,346	119	99
187	2,0,2	98,63,85	2,2,9	88,69,105	111	99
189	19,15,31	0,1,0	19,3,14	0,0,0	108	99
192	0,1,0	429,302,441	0,0,2	534,311,503	101	99
193	23,29,45	17,18,18	45,24,33	6,0,2	114	99
194	6,3,6	1,0,1	5,8,7	0,0,0	126	99
195	2,2,0	9,11,11	0,0,0	24,17,19	266	99
198	2,0,5	1028,861,1525	8,9,9	1615,885,1661	263	99
199	1,0,2	8,6,15	0,0,0	13,6,8	106	99
200	7,8,7	123,87,158	18,10,9	118,110,120	116	99
204	1,1,2	94,56,81	2,2,0	81,48,90	103	99
205	82,49,81	2,2,6	90,52,121	1,2,3	103	99
206	12,13,29	4,3,6	23,11,24	13,10,4	263	99
208	401,369,492	1,0,1	715,483,965	4,2,2	103	99
210	2,2,1	159,122,203	1,0,1	173,108,171	261	99
214	201,132,215	0,0,1	127,93,173	0,0,0	108	99
216	27,24,39	91,62,98	36,25,38	80,60,88	107	99
218	94,62,146	0,0,1	166,134,136	0,0,1	108	99
219	1,0,0	468,316,564	0,0,0	555,379,572	103	99
220	13,8,17	2,6,12	35,1,27	7,4,8	102	99
221	146,114,213	0,0,0	188,78,155	0,0,1	117	99
223	73,60,78	0,0,0	95,65,108	0,0,2	120	99
225	50,46,46	1,0,1	100,59,101	0,0,1	114	99
226	0,1,0	521,388,701	0,1,0	700,407,774	126	99
229	333,279,492	1,0,0	376,164,462	0,0,0	142	99
231	6,1,2	31,120,52	15,11,9	130,39,37	142	99
234	252,219,501	1,1,1	496,119,404	2,0,3	144	99
235	12,7,6	241,205,270	7,6,14	307,224,385	103	99
236	2,6,2	1,0,1	5,2,0	4,0,2	103	99
237	22,13,23	194,139,251	89,37,85	243,128,265	111	99
238	6,6,10	0,0,0	50,32,57	11,2,8	356	99
239	4,1,3	30,18,31	1,0,9	23,14,32	111	99
240	3,1,6	5,11,7	11,3,10	11,7,10	104	99
241	7,3,6	162,118,202	6,4,11	203,100,165	239	99
242	28,23,33	49,36,46	33,26,48	43,38,56	111	99
243	24,13,23	0,0,0	23,15,11	0,0,7	120	99
244	14,2,5	0,0,2	18,3,6	0,0,0	141	99
245	9,0,4	0,0,2	7,1,148	0,0,0	183	99
246	2,2,2	6,2,1	2,1,146	13,2,2	141	99
247	23,8,20	0,0,0	13,3,15	2,0,0	183	99
248	21,2,2	0,4,1	2,1,4	0,4,0	141	99
249	2,1,1	145,77,106	2,0,6	32,0,1	120	99
250	6,0,6	0,0,0	7,4,1	0,0,2	137	99
252	0,0,1	41604,34723,50374	1,0,0	65381,39422,80603	114	99
254	0,2,0	34,24,33	0,0,1	19,17,38	127	99
257	0,2,0	48,47,68	1,0,0	80,23,73	123	99
258	43,38,44	78,56,83	35,16,25	128,52,118	102	99
259	12,7,12	0,0,0	14,5,11	1,1,0	102	99
261	263,230,348	0,1,3	354,182,374	2,1,2	102	99
262	3,0,1	77,62,113	2,1,0	100,55,119	130	99
264	1,4,6	28,15,35	12,7,17	28,17,35	107	99
265	1,0,2	78,58,85	5,1,4	83,56,106	228	99
266	0,0,0	40,35,54	5,1,2	72,32,59	107	99
267	3,0,4	12,9,28	8,2,9	18,4,12	120	99
269	2,0,0	41,55,69	2,1,0	88,38,105	144	99
270	22,21,48	0,0,0	36,20,34	0,1,0	102	99
273	85,62,92	3,0,0	105,63,115	3,2,3	103	99
277	78,57,146	0,1,0	143,45,164	0,0,0	171	99
278	4,5,3	61,39,65	5,1,5	49,32,65	103	99
279	238,171,277	0,2,0	263,158,255	0,0,1	259	99
280	1,5,1	79,78,124	5,5,6	113,62,125	103	99
282	1,0,2	67,49,103	0,0,0	93,29,66	102	99
283	12,9,16	158,138,241	6,2,8	221,95,188	105	99
285	35,36,42	0,3,5	45,11,33	2,1,0	113	99
286	2,2,1	9,0,5	1,1,1	2,3,3	105	99
287	269,246,368	2,0,4	384,184,424	3,0,1	111	99
288	0,0,0	18,12,30	1,0,0	40,12,17	108	99
289	1,0,0	64,59,89	0,0,0	80,26,70	118	99
293	15,13,11	6,5,9	20,8,17	6,5,5	103	99
294	28,22,34	34,40,45	21,10,26	43,28,36	124	99
295	0,1,0	0,0,1	0,0,0	0,0,2	159	99
296	2,1,0	0,0,0	0,0,1	0,0,1	159	99
297	7,3,7	277,215,323	5,2,4	291,200,334	126	99
300	0,1,0	82,75,51	2,1,8	100,99,141	136	99
301	0,0,1	1227,982,1536	0,0,0	1286,970,1521	103	99
303	76,48,105	3,0,8	117,32,107	5,4,8	449	99
304	117,103,186	0,0,0	170,64,164	1,0,0	263	99
306	0,0,4	105,104,129	0,0,0	125,101,145	103	99
308	72,53,105	475,357,716	146,105,193	572,366,656	102	99
309	17,8,11	426,385,627	7,9,8	663,348,687	122	99
313	0,0,0	8,5,16	1,1,0	11,6,14	195	99
315	2,0,3	9,8,9	2,0,5	11,5,15	103	99
316	22,21,31	4,4,4	30,6,37	11,5,8	103	99
318	28,20,33	1,0,0	29,20,39	0,0,0	141	99
321	1,6,8	64,68,107	13,7,10	74,36,67	116	99
322	294,250,443	3,1,0	392,247,377	2,2,1	103	99
323	5,1,11	6,1,5	20,6,22	3,1,10	256	99
325	0,0,0	555,462,651	0,1,0	658,374,786	106	99
327	89,53,97	46,30,57	127,54,89	45,28,48	201	99
328	1,1,1	228,157,279	0,0,0	323,126,254	102	99
329	30,15,31	0,0,0	21,8,23	0,2,0	2103	99
330	23,5,25	394,333,566	50,21,47	648,278,608	135	99
331	20,17,36	0,0,0	31,22,46	4,0,0	114	99
332	5,5,6	8,3,5	13,6,4	4,1,8	112	99
334	2,1,3	15,12,18	7,3,5	23,12,17	170	99
335	0,0,1	99,91,155	0,2,2	183,87,196	123	99
337	1,0,1	934,925,1517	1,0,0	1460,745,1462	103	99
338	0,0,3	75,52,73	2,1,1	82,56,84	103	99
339	2,1,6	36,32,56	2,0,0	43,18,57	120	99
341	16,10,25	102,100,106	16,11,26	126,63,136	282	99
344	0,0,1	6,2,5	0,0,0	9,0,1	310	99
345	4,1,9	1,5,5	5,0,2	8,2,5	141	99
346	5,10,5	42,23,42	12,8,12	55,23,62	180	99
347	34,16,34	5,3,9	86,50,77	3,0,3	122	99
348	0,0,0	42,25,63	0,1,1	56,34,61	102	99
349	51,34,49	74,47,84	48,29,39	66,38,88	117	99
351	345,314,502	0,0,2	598,269,530	1,1,5	105	99
353	17,21,25	8,6,5	21,10,28	4,6,9	104	99
354	4,2,1	11,17,11	3,2,1	29,10,21	104	99
355	152,114,170	7,3,8	228,97,242	2,2,3	139	99
358	12,4,12	6,6,16	10,5,9	13,1,13	655	99
360	12,13,25	0,0,3	7,12,10	7,4,4	438	99
361	31,32,35	0,0,3	21,23,17	7,4,4	1060	99
362	19,20,17	0,1,7	14,12,12	0,1,5	721	99
364	20,24,41	5,6,12	28,18,33	18,6,14	107	99
365	2,2,1	5,5,7	8,1,9	11,0,5	107	99
367	933,716,1364	0,0,1	1892,893,1775	0,1,1	135	99
368	0,0,0	223,180,316	1,4,3	288,165,359	102	99
369	1,0,3	11,14,15	3,1,4	5,7,8	111	99
371	0,0,1	77,56,114	0,0,0	91,48,97	111	99
374	689,526,936	7,2,5	757,435,849	8,5,10	121	99
375	25,21,41	9,7,12	7,3,5	53,30,39	128	99
376	3,4,1	97,76,118	1,2,4	122,45,123	103	99
377	4,4,4	179,134,254	0,1,1	234,145,265	159	99
379	3,2,1	0,0,0	2,0,0	0,0,1	105	99
380	0,0,0	71,59,65	0,1,0	46,31,48	103	99
381	1,0,4	24,12,47	1,0,0	34,9,34	103	99
387	11481,9009,12763	23431,19177,26688	19625,13892,24848	23485,16473,28486	110	99
388	3,1,6	1,0,2	6,2,2	13,5,17	101	99
389	43,31,54	0,3,0	30,2,32	1,2,4	105	99
390	1,1,1	0,0,0	2,2,3	0,0,1	105	99
391	1,0,1	72,43,77	0,0,0	54,38,95	165	99
392	0,0,0	613,459,735	1,0,1	714,599,893	104	99
393	234,129,268	3,1,4	252,167,319	0,0,0	123	99
394	844,649,850	0,1,0	501,293,565	0,0,0	364	99
395	1496,1063,1583	19,17,18	984,598,1134	16,5,12	104	99
396	31,25,49	11,9,24	48,19,43	16,5,12	114	99
398	0,0,2	164,158,224	6,2,3	263,108,245	130	99
399	78,72,91	0,0,1	117,84,132	0,0,0	279	99
400	11,9,7	1,0,3	21,7,12	6,5,9	157	99
401	58,76,145	1,0,0	149,54,104	0,0,0	101	99
405	1,0,1	69,62,133	8,2,3	157,57,181	103	99
406	5,3,7	11,9,18	2,1,5	35,9,28	208	99
407	212,152,286	3,4,5	256,182,286	3,2,0	126	99
408	36,53,76	66,60,74	56,33,56	113,58,136	103	99
409	3,2,2	505,326,535	1,1,1	558,355,687	103	99
411	69,65,110	7,5,10	62,25,65	90,52,98	126	99
413	42,41,74	0,1,0	58,32,55	1,0,0	270	99
414	10,18,11	21,16,29	34,15,35	18,7,25	118	99
415	3,3,2	21,16,29	11,2,9	18,7,25	127	99
416	0,0,0	7,15,9	4,2,3	27,15,29	108	99
418	134,96,202	2,0,0	163,97,209	1,0,0	111	99
420	3,4,4	13,8,16	5,2,9	10,2,17	103	99
421	0,0,1	436,338,552	0,0,0	492,254,559	102	99
425	0,0,1	50,33,67	0,0,0	49,32,53	171	99
426	206,162,328	3,1,1	306,158,355	2,0,1	198	99
427	71,42,51	2,1,2	33,29,45	0,0,1	117	99
428	212,182,283	1,1,0	215,152,247	4,2,1	102	99
430	70,49,104	4,9,14	109,59,93	2,0,1	150	99
431	4,2,1	0,0,0	0,2,3	0,0,4	106	99
434	58,37,60	124,97,128	63,43,79	79,71,124	122	99
440	11,14,16	3737,3250,4519	12,7,31	4299,2797,5693	102	99
442	0,0,1	1212,1311,1881	1,0,0	2177,1125,2402	139	99
443	94,73,101	2349,1993,2964	95,58,106	3279,1776,3608	117	99
445	0,0,2	57,60,84	0,0,1	69,46,81	117	99
447	0,3,0	427,368,673	0,2,0	508,286,442	120	99
451	46,53,72	0,1,0	76,44,85	0,0,1	102	99
452	116,86,194	0,0,0	171,105,220	0,0,1	185	99
454	2,0,1	45,27,57	0,0,3	47,32,62	102	99
456	19,12,15	0,2,1	12,8,22	5,0,8	127	99
457	1,2,2	82,63,90	1,0,0	93,54,115	144	99
458	2,1,1	130,85,176	4,2,3	145,82,191	103	99
459	2,2,2	13,18,17	1,0,0	31,6,31	113	99
460	187,160,282	1,0,0	301,135,308	0,0,0	159	99
462	0,3,3	1,0,0	0,1,0	7,3,3	219	99
464	291,261,405	4,5,9	408,219,482	0,0,0	408	99
466	0,2,0	15,17,32	0,0,0	36,11,33	111	99
467	1206,861,1515	0,0,0	1307,794,1470	3,0,0	102	99
468	2,5,8	0,0,1	5,0,3	0,0,0	106	99
469	6,8,9	32,22,39	15,4,11	32,18,34	455	99
471	13,8,14	47,38,50	9,4,5	63,44,93	104	99
473	69,47,61	6,5,7	101,88,162	15,9,21	181	99
474	72,50,63	7,0,3	103,90,163	0,4,3	196	99
475	9,8,9	7,0,3	17,11,22	0,4,3	114	99
477	0,0,1	457,299,488	6,5,7	560,344,666	104	99
478	1,1,0	55,42,46	0,0,2	72,40,72	104	99
484	6,3,5	120,80,151	9,0,13	65,25,79	108	99
485	1,0,1	44,35,37	0,1,1	45,26,39	104	99
486	26,13,24	0,0,0	60,27,52	0,0,3	143	99
487	0,0,0	204,229,435	1,1,0	701,238,564	165	99
490	16,19,41	0,0,0	35,19,53	1,0,3	159	99
491	24,22,20	0,1,0	32,20,31	0,0,1	228	99
492	6,8,15	1,1,2	24,11,16	3,0,0	228	99
494	1200,931,1549	8,7,10	1677,965,1795	3,6,6	102	99
495	0,0,0	67,55,85	1,0,0	123,44,114	102	99
496	0,0,2	101,79,137	1,1,0	185,106,112	103	99
498	9,5,12	491,551,769	28,5,20	1108,407,1046	156	99
499	576,667,855	1,3,3	1129,527,1160	0,1,0	114	99
500	845,673,977	0,0,0	1236,738,1464	0,0,1	117	99
501	1,0,1	26,24,27	0,0,2	17,3,23	135	99
504	0,0,0	84,46,118	0,1,0	125,70,142	105	99
505	48,37,86	67,68,89	67,46,94	115,67,117	102	99
506	28,29,70	0,2,4	56,20,59	1,0,0	115	99
508	54,57,85	0,0,0	85,37,80	0,0,2	180	99
510	2,3,2	0,1,0	0,0,6	3,0,4	103	99
511	0,0,0	0,2,0	1,1,1	0,0,1	104	99
512	1,2,1	2,0,0	1,2,0	0,0,0	170	99
513	2,2,4	9,3,11	2,1,10	6,1,5	103	99
514	0,0,0	0,0,2	0,1,0	0,0,0	103	99
516	0,0,0	177,119,165	2,0,0	180,145,254	103	99
519	1,1,3	0,1,0	8,6,8	0,0,3	109	99
520	14,18,31	0,1,0	48,27,38	0,0,0	126	99
521	28,27,32	15,20,35	54,30,57	38,26,35	126	99
522	5,4,9	5037,4529,7190	15,5,20	6859,3171,6978	104	99
523	1,3,3	8437,7001,10458	1,0,2	8831,5915,10571	103	99
524	0,2,3	3,3,3	1,0,2	2,6,2	103	99
526	27,18,49	2,0,1	37,15,32	0,1,0	109	99
529	12,16,18	2,0,0	20,16,29	3,1,4	143	99
530	33,32,56	0,0,0	47,25,50	0,0,1	123	99
531	1,0,2	1268,1059,1611	0,0,1	1450,996,1662	103	99
532	0,2,0	95,83,134	0,0,0	100,84,140	102	99
533	23,21,33	3,7,8	7,6,6	7,2,19	107	99
536	1,3,0	68,54,79	5,0,2	67,36,81	119	99
537	2,2,2	2,4,10	2,0,4	9,5,7	297	99
538	2,2,2	1,0,0	2,1,4	0,0,0	367	99
539	2,4,10	1,0,0	9,6,7	0,0,0	169	99
541	91,69,128	12,9,7	88,59,92	11,5,9	120	99
545	37,27,36	0,2,1	46,17,41	1,0,0	115	99
547	2,6,8	11,18,30	1,0,7	29,16,19	102	99
549	31,26,46	12,9,15	46,12,44	6,10,16	111	99
551	4,1,0	32,20,54	0,6,6	66,42,83	121	99
552	1,0,2	2,3,4	1,1,0	1,0,0	105	99
553	750,728,1072	1,0,8	1269,565,1448	1,0,1	102	99
554	1,2,0	0,0,0	3,0,2	0,0,2	105	99
556	5,4,8	70,43,95	29,9,15	113,41,89	208	99
558	57,32,73	5,9,4	51,40,80	17,5,19	105	99
560	14,11,19	2,0,2	20,20,30	0,0,0	132	99
561	12,11,20	2,0,2	13,6,17	0,0,0	197	99
562	12,11,20	14,11,19	13,6,17	20,20,30	164	99
563	22,18,36	1,2,0	32,19,31	1,1,0	129	99
564	12,8,13	972,787,1037	10,16,21	1404,908,1808	620	99
566	31,33,56	6,5,11	73,41,81	14,12,18	111	99
567	1,0,0	158,137,217	0,0,0	131,102,150	210	99
568	1,0,0	311,253,454	1,1,1	460,241,408	123	99
569	0,0,1	226,206,346	0,1,0	379,228,384	103	99
571	1,0,0	267,211,296	2,3,3	279,184,259	109	99
572	0,0,3	0,0,0	2,0,2	0,0,1	104	99
577	1,2,3	8,1,2	8,2,5	0,3,4	103	99
579	5,2,4	36,42,66	7,3,4	69,29,58	104	99
581	4,1,3	35,27,54	5,0,4	46,43,47	103	99
583	0,1,0	4827,4690,6986	0,0,0	7429,3491,9508	103	99
584	0,0,1	0,0,2	3,0,0	0,0,0	103	99
585	3,1,0	54,58,68	10,7,7	90,55,87	114	99
589	0,0,0	53,45,74	0,0,1	79,51,67	139	99
