ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
179	3,5,5	26,40,61	3,6,6	58,16,34	117	99
181	11,0,8	70,47,94	8,2,10	85,59,84	125	99
182	46,30,71	1,0,1	60,48,80	0,0,0	123	99
183	1,0,1	4,1,4	2,0,0	5,2,8	110	99
185	44,34,66	0,0,0	60,41,87	1,0,1	101	99
186	14,2,13	296,208,280	7,4,5	295,209,346	118	99
187	2,0,2	98,63,85	2,2,9	88,69,105	110	99
189	19,15,31	0,1,0	19,3,14	0,0,0	107	99
192	0,1,0	429,302,441	0,0,2	534,311,503	100	99
193	23,29,45	17,18,18	45,24,33	6,0,2	113	99
194	6,3,6	1,0,1	5,8,7	0,0,0	125	99
195	2,2,0	9,11,11	0,0,0	24,17,19	198	99
198	2,0,5	1028,861,1525	7,9,9	1615,885,1661	198	99
199	1,0,2	8,6,15	0,0,0	13,6,8	105	99
200	7,8,7	123,87,158	18,10,9	118,110,120	115	99
204	1,1,2	94,56,81	2,2,0	81,48,90	102	99
205	82,49,81	2,2,6	90,52,121	1,2,3	102	99
206	12,13,29	4,3,6	23,11,24	13,10,4	198	99
208	401,369,492	1,0,1	715,483,965	4,2,2	102	99
210	2,2,1	159,122,203	1,0,1	173,108,171	198	99
214	201,132,215	0,0,1	127,93,173	0,0,0	107	99
216	27,24,39	91,62,98	36,25,38	80,60,88	106	99
218	94,62,146	0,0,1	166,134,136	0,0,1	107	99
219	1,0,0	468,316,564	0,0,0	555,379,572	102	99
220	13,8,17	2,6,12	35,1,27	7,4,8	101	99
221	146,114,213	0,0,0	188,78,155	0,0,1	116	99
223	73,60,78	0,0,0	95,65,108	0,0,2	119	99
225	50,46,46	1,0,1	100,59,101	0,0,1	113	99
226	0,1,0	521,388,701	0,1,0	700,407,774	125	99
229	333,279,492	1,0,0	376,164,462	0,0,0	141	99
231	6,1,2	31,120,52	15,11,9	130,39,37	141	99
